latitude;longitude;stationname;depth;red;green;blue
55.383;6.25;station012_id341181;50.5;1;1;0
54.501;8.2;station012_id341241;14.5;1;1;0
54.501;8.198;station013_id316022;15.6;1;1;0
54.668;7.503;station013_id328578;24.7;1;1;0
52;3.728;station013_id340988;21.3;1;1;0
55;8.001;station013_id341115;15.7;1;1;0
55;6.322;station013_id341214;44.8;1;1;0
54.417;7.582;station013_id341242;28.1;1;1;0
54.668;7.833;station014_id328579;15.9;1;1;0
51.7;2.862;station014_id340990;40.8;1;1;0
54.999;7.5;station014_id341116;26.7;1;1;0
54.667;6.252;station014_id341183;41.8;1;1;0
54.666;7.501;station014_id341243;24.3;1;1;0
54.766;8.115;station015_id328580;12;1;1;0
52.501;2.5;station015_id340991;47.3;1;1;0
55.283;6.784;station015_id341117;29.8;1;1;0
54.166;6.33;station015_id341215;35;1;1;0
54.666;7.832;station015_id341244;16.1;1;1;0
55.05;8.2;station016_id328581;14;1;1;0
54.682;6.778;station016_id341139;39;1;1;0
53.943;6.199;station016_id341185;29.4;1;1;0
54.766;8.12;station016_id341245;14;1;1;0
54.998;8;station017_id328582;17.7;1;1;0
53.331;1.669;station017_id340994;29.9;1;1;0
53.673;6.498;station017_id341186;23.6;1;1;0
55.048;8.2;station017_id341246;15.4;1;1;0
54.416;7.584;station018_id316027;28.3;1;1;0
55;7.502;station018_id328583;28;1;1;0
54;1.003;station018_id340996;44.8;1;1;0
53.8;7.167;station018_id341187;23.4;1;1;0
55.001;8.003;station018_id341247;16.2;1;1;0
54.667;7.501;station019_id316028;25.2;1;1;0
54.681;6.784;station019_id328584;39.8;1;1;0
53.942;6.783;station019_id341188;28.4;1;1;0
55;7.501;station019_id341248;27.5;1;1;0
54.667;7.834;station020_id316029;16;1;1;0
54.667;6.248;station020_id328585;41;1;1;0
54.999;6.326;station020_id341140;45.1;1;1;0
54.332;6.782;station020_id341189;37;1;1;0
55.283;6.785;station020_id341249;30.8;1;1;0
54.768;8.118;station021_id316030;12.7;1;1;0
55;6.786;station021_id328586;36.3;1;1;0
55;0.004;station021_id341001;75.7;1;1;0
54.691;6.785;station021_id341216;39.6;1;1;0
55;6.783;station021_id341273;35.7;1;1;0
55.05;8.201;station022_id316031;18;1;1;0
55.001;6.325;station022_id328587;46;1;1;0
55;2;station022_id341003;27.4;1;1;0
55.512;5.75;station022_id341124;51;1;1;0
55;6.782;station022_id341217;36.4;1;1;0
54.693;6.787;station022_id341274;40.2;1;1;0
55;3.999;station023_id341005;47.7;1;1;0
55.919;3.35;station023_id341125;70.9;1;1;0
55.283;6.784;station023_id341192;30.9;1;1;0
54.332;6.785;station023_id341252;38.1;1;1;0
55;8.001;station024_id316033;18.5;1;1;0
55.283;6.775;station024_id328588;32.4;1;1;0
55;4.997;station024_id341007;40.3;1;1;0
55.5;3.999;station024_id341126;32;1;1;0
55.002;7.5;station024_id341193;28.8;1;1;0
53.943;6.783;station024_id341253;28.3;1;1;0
55;7.5;station025_id316034;28.4;1;1;0
55.384;6.245;station025_id328589;50;1;1;0
55.001;6.25;station025_id341009;44.3;1;1;0
55.767;4.248;station025_id341127;38;1;1;0
55;8;station025_id341194;17.2;1;1;0
54.166;6.338;station025_id341275;35.4;1;1;0
55.281;6.786;station026_id316035;31.5;1;1;0
55.512;5.748;station026_id328590;51;1;1;0
55.05;8.201;station026_id341195;15.4;1;1;0
54.667;6.25;station026_id341255;41.6;1;1;0
55.001;6.782;station027_id316065;38.3;1;1;0
55.249;5.502;station027_id328591;44;1;1;0
55.398;4.746;station027_id341129;47.1;1;1;0
54.764;8.118;station027_id341196;12.7;1;1;0
54.998;6.326;station027_id341276;44.7;1;1;0
54.691;6.783;station028_id316066;40.9;1;1;0
54.998;5.504;station028_id328592;41.6;1;1;0
54.999;7.582;station028_id341013;25.2;1;1;0
55.001;5.502;station028_id341130;41;1;1;0
54.666;7.836;station028_id341197;17;1;1;0
55.383;6.25;station028_id341257;51.5;1;1;0
54.333;6.782;station029_id316038;39;1;1;0
54.668;5.001;station029_id328593;46;1;1;0
54.999;8;station029_id341014;16.5;1;1;0
54.668;4.998;station029_id341131;43;1;1;0
54.668;7.502;station029_id341198;24.7;1;1;0
55.512;5.749;station029_id341258;51.1;1;1;0
55.512;5.749;station029_id341258;51.1;1;1;0
53.942;6.783;station030_id316039;28.6;1;1;0
54.666;5.502;station030_id328594;44.1;1;1;0
54.999;8.248;station030_id341015;12.8;1;1;0
54.334;5.666;station030_id341132;42;1;1;0
54.418;7.583;station030_id341199;28.3;1;1;0
55.251;5.502;station030_id341259;43.7;1;1;0
